,reaction_name,reaction_string,WT-LN-G-R1 trans,WT-LN-G-R2 trans,WT-LN-G-R3 trans,EVOL33-LN-G-R1 trans,EVOL33-LN-G-R2 trans,EVOL33-LN-G-R3 trans,EVOL40-LN-G-R1 trans,EVOL40-LN-G-R2 trans,EVOL40-LN-G-R3 trans,WT-P-R1 trans,WT-P-R2 trans,WT-P-R3 trans,PVHG-P-R1 trans,PVHG-P-R2 trans,PVHG-P-R3 trans
KAT3,3-ketoacyl-CoA thiolase,3oocoa_c + coa_c --> accoa_c + hxcoa_c,228.05559,200.42972999999998,220.45927999999998,205.14075000000003,160.58818,190.75808999999998,191.38612999999998,175.16078,196.85193999999998,24.790570000000002,36.36277,47.088950000000004,61.22829,37.01212,31.539219999999997
KAT4,3-ketoacyl-CoA thiolase,3odcoa_c + coa_c --> accoa_c + occoa_c,228.05559,200.42972999999998,220.45927999999998,205.14075000000003,160.58818,190.75808999999998,191.38612999999998,175.16078,196.85193999999998,24.790570000000002,36.36277,47.088950000000004,61.22829,37.01212,31.539219999999997
KAT5,3-ketoacyl-CoA thiolase,3oddcoa_c + coa_c --> accoa_c + dcacoa_c,228.05559,200.42972999999998,220.45927999999998,205.14075000000003,160.58818,190.75808999999998,191.38612999999998,175.16078,196.85193999999998,24.790570000000002,36.36277,47.088950000000004,61.22829,37.01212,31.539219999999997
KAT6,3-ketoacyl-CoA thiolase,3otdcoa_c + coa_c --> accoa_c + ddcacoa_c,228.05559,200.42972999999998,220.45927999999998,205.14075000000003,160.58818,190.75808999999998,191.38612999999998,175.16078,196.85193999999998,24.790570000000002,36.36277,47.088950000000004,61.22829,37.01212,31.539219999999997
KAT7,3-ketoacyl-CoA thiolase,3ohdcoa_c + coa_c --> accoa_c + tdcoa_c,228.05559,200.42972999999998,220.45927999999998,205.14075000000003,160.58818,190.75808999999998,191.38612999999998,175.16078,196.85193999999998,24.790570000000002,36.36277,47.088950000000004,61.22829,37.01212,31.539219999999997
KDOCT,KDOCT,ctp_c + kdo_c --> ckdo_c + ppi_c,,,,,,,,,,,,,,,
KDOPP,3-deoxy-manno-octulosonate-8-phosphatase,h2o_c + kdo8p_c --> kdo_c + pi_c,,,,,,,,,,,,,,,
KDOPS,3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase,ara5p_c + h2o_c + pep_c --> kdo8p_c + pi_c,,,,,,,,,,,,,,,
Kt1,Potassium transport via uniport (facilitated diffusion),k_e --> k_c,41.470479999999995,40.95738,43.012190000000004,62.63758,58.76969,64.85428999999999,45.07457,45.0387,44.50981,204.82985,188.07575,182.34702,344.2863,403.14576,382.08619
Kt2pp,Potassium transport in via proton symport (periplasm),h_p + k_p --> h_c + k_c,110.95115999999999,109.14706,113.36411,119.85154,114.67436000000001,119.67778999999999,106.11805999999999,98.95567,113.83059999999999,568.95227,466.12464000000006,453.59895,456.2653,530.84778,551.47492
Kt2r,Potassium reversible transport  via proton symport,h_e + k_e --> h_c + k_c,60.18667000000001,66.88254,66.34674,88.26689,92.85611,98.05968999999999,79.30231,66.0321,85.95232999999999,324.82673,255.08872,159.41568,231.48874999999998,311.84240000000005,312.0845
Kt3pp,Potassium transport out via proton antiport (periplasm),h_p + k_c --> h_c + k_p,59.86619,67.53611000000001,69.3071,89.75573,91.82764,102.21036,83.52052,68.62159,87.04292,330.8925,273.10532,202.21267,383.74089,371.34806000000003,361.08569
Kt3r,Kt3r,h_e + k_c --> h_c + k_e,173.6376,158.38306,186.85055,173.44975,177.04371,171.73417,151.49394,150.37563,169.31448,179.33601,174.014,155.61423,338.7201,364.90673000000004,309.77675
LA4NTGM2pp,"4-amino-4-deoxy-L-arabinotransferase (LPS lipid A modification, periplasmic face of membrane))",hghhlipan_p + uLa4n_p --> gm2lipa_p + udcpp_p,1.5383200000000001,0.43572,1.39311,0.95711,1.39578,2.07534,1.0846799999999999,1.38723,1.09059,2.10984,3.0760099999999997,2.45255,1.9645400000000002,1.94262,1.61542
LACD,Lactate dehydrogenase,dhlplarg_c + mql8_c + 2.0 pyr_c <=> 2.0 lac__D_c + lplarg_c + mqn8_c,29.228040000000004,25.70729,33.0863,26.373720000000002,23.36095,21.6181,31.75708,23.58289,30.536590000000004,31.120070000000002,23.39961,18.39412,22.10112,20.03971,18.846610000000002
LacR,LacR,lac__L_c <=> lac__D_c,3.33302,5.2286,2.43794,2.1269099999999996,2.9384799999999998,1.5565,1.98858,3.6068,3.4081,0.61537,1.09857,1.9620400000000002,0.49113999999999997,0.40897,1.07695
LACZ,B-galactosidase,h2o_c + lcts_c --> gal_c + glc__D_c,19.86994,22.87513,19.67764,27.968909999999997,24.16904,23.52049,26.574709999999996,23.21296,24.87914,113.40365,125.23735,155.73686999999998,53.69753000000001,45.600559999999994,40.92407
LACZpp,B-galactosidase,h2o_p + lcts_p --> gal_p + glc__D_p,,,,,,,,,,,,,,,
LADGMDH,L-alanyl-gamma-D-glutamyl-meso-diaminopimelate hydrolase,LalaDgluMdap_c + h2o_c --> 26dap__M_c + LalaDglu_c,,,,,,,,,,,,,,,
LALDO,D-Lactaldehyde NAD+ oxidoreductase (glutathione-formylating),gthrd_c + lald__D_c + nad_c <=> h_c + lgt__S_c + nadh_c,6.34556,6.97147,5.050009999999999,5.84901,5.65658,5.18834,4.39899,4.99402,4.22605,8.43934,11.20545,27.959059999999997,3.43795,5.31666,4.46165
LALGP,L-alanyl-gamma-L-glutamate peptidase,LalaLglu_c + h2o_c --> ala__L_c + glu__L_c,,,,,,,,,,,,,,,
LCADi,Lactaldehyde dehydrogenase,h2o_c + lald__L_c + nad_c --> 2.0 h_c + lac__L_c + nadh_c,12669.007209999998,14230.94643,6213.78214,11288.803160000001,5874.471640000001,14726.074770000001,6374.31499,9095.78297,13595.05315,1874.0612099999998,4996.09149,9081.66664,661.23269,361.02149,398.08659
LCARR,"Lacaldehyde reductase (R-propane-1,2-diol forming)",h_c + lald__D_c + nadh_c <=> 12ppd__R_c + nad_c,7.88388,6.753610000000001,7.8362300000000005,9.25207,9.25623,11.06847,9.2198,7.95345,9.47452,3.2526599999999997,3.2957199999999998,4.16933,6.38477,4.80544,5.00012
LCARS,"Lacaldehyde reductase (S-propane-1,2-diol forming)",h_c + lald__L_c + nadh_c <=> 12ppd__S_c + nad_c,41.855059999999995,42.26453,33.60872,46.68574000000001,42.82842,49.63515,42.724419999999995,42.819140000000004,37.76176,9.670069999999999,10.546299999999999,11.77223,14.079239999999999,12.064720000000001,11.53874
LCTSabc,LCTSabc,atp_c + h2o_c + lcts_e --> adp_c + h_c + lcts_c + pi_c,3.20483,2.6143,1.9155200000000001,5.6363199999999996,4.2608,4.49656,3.73613,4.71658,4.02156,3.6043,3.95486,6.00875,1.80083,2.96506,2.3846700000000003
LCTSt3ipp,Lactose transport via proton aniport (periplasm),h_p + lcts_c --> h_c + lcts_p,18.7162,17.864379999999997,16.54316,20.84374,17.777839999999998,24.03932,20.97052,19.51368,18.40375,19.076430000000002,15.81945,14.47004,49.2773,41.81755,47.23192
LCYSTabc,Cysteate transport via ABC system,Lcyst_e + atp_c + h2o_c --> Lcyst_c + adp_c + h_c + pi_c,0.19229000000000002,0.43572,0.0,0.10635,0.44077,0.51883,0.18078,0.27745,0.34081,0.35164,0.21971,0.24525,0.0,0.10224,0.3077
LDGUNPD,Linear diguanylate phosphodiesterase,5pg35pg_c + h2o_c --> 2.0 gmp_c + h_c,,,,,,,,,,,,,,,
LDH_D,D-lactate dehydrogenase,lac__D_c + nad_c <=> h_c + nadh_c + pyr_c,4.486759999999999,4.35717,2.08966,3.93479,3.8200300000000005,4.66951,5.00159,4.71658,4.22605,4.6592199999999995,8.01958,29.430590000000002,3.60166,0.81795,1.46157
LDH_L,L-lactate dehydrogenase,lac__L_c + nad_c <=> h_c + nadh_c + pyr_c,399.32162,414.80239,349.49586,538.8534,378.77067999999997,567.7777,304.25332000000003,354.02083999999996,358.05514,1497.71935,1875.7039899999997,2127.4637,313.83587,191.60415,308.23825
LEUabc,L-leucine transport via ABC system,atp_c + h2o_c + leu__L_e --> adp_c + h_c + leu__L_c + pi_c,0.96145,0.65358,0.69655,0.74442,1.24886,0.51883,1.14494,1.29475,1.02243,4.04385,4.50415,4.16933,0.49113999999999997,1.02243,1.1538700000000002
LEUabcpp,L-leucine transport via ABC system (periplasm),atp_c + h2o_c + leu__L_p --> adp_c + h_c + leu__L_c + pi_c,334.71229,353.36634999999995,357.50620000000004,430.80622,438.86271,520.2178699999998,354.38972000000007,396.00764000000004,359.89552000000003,943.09639,1433.1986799999997,1462.4550199999999,444.6417599999999,289.2465899999999,280.85294999999996
LEUt2r,L leucine reversible transport via proton symport,h_e + leu__L_e <=> h_c + leu__L_c,17.113780000000002,20.914400000000004,16.717299999999998,22.22624,21.45094,25.94172,16.51127,24.970119999999994,21.743690000000004,13.09857,21.42218,36.66561,10.15015,7.87274,7.6925
LEUt4rpp,L-leucine transport in via sodium symport,leu__L_p + na1_p <=> leu__L_c + na1_c,,,,,,,,,,,,,,,
LEUTA,Leucine transaminase,akg_c + leu__L_c <=> 4mop_c + glu__L_c,62.49415,63.83251,58.85879,68.4866,71.5521,66.41079,71.4685,70.6562,73.54683,271.02592999999996,179.83643999999998,145.68142,692.82912,793.10213,816.78904
LEUTAi,Leucine transaminase (irreversible),4mop_c + glu__L_c --> akg_c + leu__L_c,1.02555,0.65358,0.34828000000000003,0.53173,1.1019299999999999,0.86472,0.24104,0.7398600000000001,0.47713,0.0,0.21971,0.12262999999999999,0.0,0.40897,0.15385
LIPO1S24_BS,Lipoteichoic acid synthesis  n24   linked  glucose substituted,2400.0 cdpglyc_c + d12dg_BS_c + 2400.0 udpg_c --> 2400.0 cmp_c + 4800.0 h_c + lipo1_24_BS_c + 2400.0 udp_c,,,,,,,,,,,,,,,
LIPO2S24_BS,Lipoteichoic acid synthesis  n24   linked  N acetylglucosamine substituted,2400.0 cdpglyc_c + d12dg_BS_c + 2400.0 uacgam_c --> 2400.0 cmp_c + 4800.0 h_c + lipo2_24_BS_c + 2400.0 udp_c,,,,,,,,,,,,,,,
LIPO3S24_BS,Lipoteichoic acid synthesis  n24   unliked  D alanine substituted,2400.0 ala__D_c + 2400.0 atp_c + 2400.0 cdpglyc_c + d12dg_BS_c + 2400.0 h2o_c --> 2400.0 amp_c + 2400.0 cmp_c + 4800.0 h_c + lipo3_24_BS_c + 2400.0 ppi_c,,,,,,,,,,,,,,,
LIPO4S24_BS,Lipoteichoic acid synthesis  n24   linked  unsubstituted,2400.0 cdpglyc_c + d12dg_BS_c --> 2400.0 cmp_c + 2400.0 h_c + lipo4_24_BS_c,,,,,,,,,,,,,,,
LIPOCT,Lipoyl(octanoyl) transferase,h_c + ocACP_c --> ACP_c + octapb_c,26.92056,35.94664,30.12595,38.816159999999996,38.2003,35.45368,40.434540000000005,35.698029999999996,36.39852,118.06286999999999,112.82347,93.31949,304.99543,294.97224,262.00636000000003
LIPOS,Lipoate synthase,4fe4s_c + 2.0 amet_c + h_c + nad_c + octapb_c --> 2fe2s_c + 2.0 dad_5_c + 2.0 fe2_c + lipopb_c + 2.0 met__L_c + nadh_c,6.40966,5.2286,3.48277,7.4442,6.3912,7.60957,5.72471,5.73388,5.99826,0.70328,0.32957,0.85839,1.47341,0.92019,1.0000200000000001
L_LACD,L LACD,2.0 ficytc_c + lac__L_c --> 2.0 focytc_c + pyr_c,399.32162,414.80239,349.49586,538.8534,378.77067999999997,567.7777,304.25332000000003,354.02083999999996,358.05514,1497.71935,1875.7039899999997,2127.4637,313.83587,191.60415,308.23825
L_LACD2,L-Lactate dehydrogenase (ubiquinone),lac__L_c + q8_c --> pyr_c + q8h2_c,82.36409,74.72543000000002,76.27265,91.77629999999999,80.36755,77.13337,93.70447,81.29162000000001,94.06361000000001,283.94867,221.25265,165.66970000000003,119.67346000000002,119.93152,131.77243
L_LACD3,L-Lactate dehydrogenase (menaquinone),lac__L_c + mqn8_c --> mql8_c + pyr_c,82.36409,74.72543000000002,76.27265,91.77629999999999,80.36755,77.13337,93.70447,81.29162000000001,94.06361000000001,283.94867,221.25265,165.66970000000003,119.67346000000002,119.93152,131.77243
L_LACt2rpp,L-lactate reversible transport via proton symport (periplasm),h_p + lac__L_p <=> h_c + lac__L_c,7.17882,7.407189999999999,6.7914,10.102839999999999,9.18276,11.06847,11.44942,9.155710000000001,8.17944,15.64795,13.95188,13.121139999999999,40.27315,36.90987,36.30857
LLEUDr,L leucine dehydrogenase,h2o_c + leu__L_c + nad_c <=> 4mop_c + h_c + nadh_c + nh4_c,28.26659,23.52871,21.41903,29.45774,24.38942,24.03932,29.889020000000002,22.28815,25.4926,94.85468,65.25525,55.67286,87.25849000000001,125.24818,95.38693
LMN2,Laminaribiase,h2o_c + lmn2_c --> 2.0 glc__D_c,59.93029,51.19672,49.8036,64.87084,53.62735,52.57521,45.97847,40.04468,46.55467,22.768639999999998,19.334889999999998,15.328429999999999,26.35763,32.10443,32.46233
LMN2abc,Laminoribiose transport via ABC-transporter,atp_c + h2o_c + lmn2_e --> adp_c + h_c + lmn2_c + pi_c,,,,,,,,,,,,,,,
LMNe,Laminarinase (extracellular),14.0 h2o_e + lmn30_e --> 15.0 lmn2_e,1.7947,3.05002,1.04483,1.38249,0.88155,1.03767,1.0846799999999999,1.29475,1.09059,1.31865,2.307,1.47153,2.61939,2.24936,1.61542
LPADSSN,Lipid A disaccaride synthase (glucosediaminyl),lipidXn_c + u23gn_c --> h_c + lipidAdsn_c + udp_c,,,,,,,,,,,,,,,
LPD5,Dihydrolipoamide dehydrogenase,dhlplarg_c + nad_c --> h_c + lplarg_c + nadh_c,7.75568,6.97147,5.746569999999999,7.86958,6.02389,6.05307,7.59277,6.2887699999999995,6.74804,3.86803,4.72387,4.65984,4.25651,2.45384,2.3846700000000003
LPLIPAL1A160pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:0) (periplasm)",1hdecg3p_p + h2o_p --> glyc3p_p + h_p + hdca_p,,,,,,,,,,,,,,,
LPLIPAL1E160pp,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:0) (periplasm)",1agpe160_p + h2o_p --> g3pe_p + h_p + hdca_p,,,,,,,,,,,,,,,
LPLIPAL2E120,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C12:0)",2agpe120_c + h2o_c --> ddca_c + g3pe_c + h_c,66.33995,73.20042,66.17260999999999,77.95136,72.87442,88.54773,64.41806,74.81788,58.00589,18.46106,21.86161,21.58243,27.99475,29.13937,26.46218
LPLIPAL2E140,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:0)",2agpe140_c + h2o_c --> g3pe_c + h_c + ttdca_c,66.33995,73.20042,66.17260999999999,77.95136,72.87442,88.54773,64.41806,74.81788,58.00589,18.46106,21.86161,21.58243,27.99475,29.13937,26.46218
LPLIPAL2E141,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:1)",2agpe141_c + h2o_c --> g3pe_c + h_c + ttdcea_c,66.33995,73.20042,66.17260999999999,77.95136,72.87442,88.54773,64.41806,74.81788,58.00589,18.46106,21.86161,21.58243,27.99475,29.13937,26.46218
LPLIPAL2E160,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:0)",2agpe160_c + h2o_c --> g3pe_c + h_c + hdca_c,187.73885,202.39045,208.44372,211.3088,195.77654,224.48232,187.52947999999998,209.28661,180.49305999999999,742.1345699999999,670.12969,559.3038200000001,86.76735,100.812,107.23337000000001
LPLIPAL2E161,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:1)",2agpe161_c + h2o_c --> g3pe_c + h_c + hdcea_c,66.33995,73.20042,66.17260999999999,77.95136,72.87442,88.54773,64.41806,74.81788,58.00589,18.46106,21.86161,21.58243,27.99475,29.13937,26.46218
LPLIPAL2E180,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:0)",2agpe180_c + h2o_c --> g3pe_c + h_c + ocdca_c,187.73885,202.39045,208.44372,211.3088,195.77654,224.48232,187.52947999999998,209.28661,180.49305999999999,742.1345699999999,670.12969,559.3038200000001,86.76735,100.812,107.23337000000001
LPLIPAL2E181,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:1)",2agpe181_c + h2o_c --> g3pe_c + h_c + ocdcea_c,66.33995,73.20042,66.17260999999999,77.95136,72.87442,88.54773,64.41806,74.81788,58.00589,18.46106,21.86161,21.58243,27.99475,29.13937,26.46218
LPLIPAL2G120,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C12:0)",2agpg120_c + h2o_c --> ddca_c + g3pg_c + h_c,66.33995,73.20042,66.17260999999999,77.95136,72.87442,88.54773,64.41806,74.81788,58.00589,18.46106,21.86161,21.58243,27.99475,29.13937,26.46218
LPLIPAL2G140,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:0)",2agpg140_c + h2o_c --> g3pg_c + h_c + ttdca_c,66.33995,73.20042,66.17260999999999,77.95136,72.87442,88.54773,64.41806,74.81788,58.00589,18.46106,21.86161,21.58243,27.99475,29.13937,26.46218
LPLIPAL2G141,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:1)",2agpg141_c + h2o_c --> g3pg_c + h_c + ttdcea_c,66.33995,73.20042,66.17260999999999,77.95136,72.87442,88.54773,64.41806,74.81788,58.00589,18.46106,21.86161,21.58243,27.99475,29.13937,26.46218
LPLIPAL2G160,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:0)",2agpg160_c + h2o_c --> g3pg_c + h_c + hdca_c,66.33995,73.20042,66.17260999999999,77.95136,72.87442,88.54773,64.41806,74.81788,58.00589,18.46106,21.86161,21.58243,27.99475,29.13937,26.46218
LPLIPAL2G161,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:1)",2agpg161_c + h2o_c --> g3pg_c + h_c + hdcea_c,66.33995,73.20042,66.17260999999999,77.95136,72.87442,88.54773,64.41806,74.81788,58.00589,18.46106,21.86161,21.58243,27.99475,29.13937,26.46218
LPLIPAL2G180,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:0)",2agpg180_c + h2o_c --> g3pg_c + h_c + ocdca_c,66.33995,73.20042,66.17260999999999,77.95136,72.87442,88.54773,64.41806,74.81788,58.00589,18.46106,21.86161,21.58243,27.99475,29.13937,26.46218
LPLIPAL2G181,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:1)",2agpg181_c + h2o_c --> g3pg_c + h_c + ocdcea_c,66.33995,73.20042,66.17260999999999,77.95136,72.87442,88.54773,64.41806,74.81788,58.00589,18.46106,21.86161,21.58243,27.99475,29.13937,26.46218
LSERDHr,L-serine dehydrogenase,nadp_c + ser__L_c <=> 2amsa_c + h_c + nadph_c,20.575,17.210810000000002,19.67764,23.07701,20.42247,23.52049,17.53569,20.53099,17.92661,28.043229999999998,32.1882,42.79698,148.97791,93.85945,76.15569
LYSabc,L-lysine transport via ABC system,atp_c + h2o_c + lys__L_e --> adp_c + h_c + lys__L_c + pi_c,5.06363,6.753610000000001,3.48277,5.84901,7.41967,7.43663,4.09769,6.19629,4.43053,4.21967,6.921010000000001,6.62188,3.92909,3.88525,3.3077699999999997
LYSabcpp,L-lysine transport via ABC system (periplasm),atp_c + h2o_c + lys__L_p --> adp_c + h_c + lys__L_c + pi_c,435.72847,475.80275,462.68586,511.09718,555.81438,580.92151,442.73108,487.00986,466.70541999999995,825.9126200000001,957.7361699999999,895.3030299999998,210.04247000000004,211.95059,219.313
LYSMO,LYSMO,lys__L_c + o2_c --> 5apentam_c + co2_c + h2o_c + h_c,3.14073,4.35717,3.13449,6.16805,5.80351,5.70718,5.42341,6.38125,3.61259,265.04806,283.98118999999997,306.07813,39.78201,34.55827,38.69325
LYSt3pp,L-lysine transport out via proton antiport (cytoplasm to periplasm),h_p + lys__L_c --> h_c + lys__L_p,3.14074,3.48574,2.7862199999999997,2.44595,2.4977099999999997,3.4589,2.53092,3.14439,2.59016,11.340359999999999,10.985729999999998,8.46129,19.48173,16.05222,16.846559999999997
LYSt3r,LYSt3r,h_e + lys__L_c --> h_c + lys__L_e,2.4997700000000003,2.83216,2.2638,1.80788,1.98348,2.42123,1.8680599999999998,2.86694,2.24935,3.3405699999999996,2.85629,1.3489,7.039619999999999,6.23685,5.153969999999999
LYSt5r,LYSt5r,lys__L_e <=> lys__L_c,2.62796,3.26788,2.08966,2.1269099999999996,2.6446400000000003,3.97773,2.65145,2.21957,2.24935,152.08396000000002,203.56563,257.64027999999996,13.91552,13.9051,12.461839999999999
M1PD,Mannitol-1-phosphate 5-dehydrogenase,mnl1p_c + nad_c <=> f6p_c + h_c + nadh_c,,,,,,,,,,,,,,,
MACACI,Maleylacetoacetate isomerase,4mlacac_c --> 4fumacac_c,43.136990000000004,45.53241,32.56389,38.49712,25.638279999999998,32.16773,42.36286,44.66877,25.4926,9.58217,11.42516,15.81894,2.61939,1.43141,3.1539200000000003
MACCOAT,MACCOAT,2maacoa_c + coa_c --> accoa_c + ppcoa_c,237.47779,214.37267,221.67824,249.91227,218.54979,234.51312000000001,253.33353,239.71316000000002,225.82081,458.88918,463.59792,534.4104400000001,446.77000999999996,313.88727,340.39288
MACPD,Malonyl-ACP decarboxylase,h_c + malACP_c --> acACP_c + co2_c,15.31908,16.33938,16.36901,25.52296,20.34901,18.50509,13.618789999999999,14.982070000000002,15.6091,19.95553,16.918029999999998,12.63063,2.45568,0.61346,1.07695
MAL6PG,Maltose 6  phosphate glucosidase,h2o_c + malt6p_c --> g6p_c + glc__D_c,,,,,,,,,,,,,,,
MALDDH,Malate decarboxylating oxidoreductase (decarboxylating),mal__D_c + nad_c --> co2_c + nadh_c + pyr_c,13.332089999999999,9.15005,16.194879999999998,9.89015,9.1093,8.82018,11.38916,9.06323,11.3149,15.999579999999998,33.39663,31.63788,5.4025,7.56601,7.307869999999999
MALDt2_2pp,D-Malate transport via proton symport (2 H) (periplasm),2.0 h_p + mal__D_p --> 2.0 h_c + mal__D_c,57.045950000000005,54.028890000000004,68.43641,53.172830000000005,42.681490000000004,49.28926,47.30419,53.732,50.09909,42.46043,75.91140999999999,114.53403999999999,13.588090000000001,14.211839999999999,14.231119999999999
MALDtex,D-Malate transport via diffusion (extracellular to periplasm),mal__D_e <=> mal__D_p,,,,,,,,,,,,,,,
MALS,Malate synthase,accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c,993.9454800000001,854.22279,1227.8501800000001,852.14767,654.4005400000001,614.1269,804.5328,700.6431200000001,993.2571,57.75674,106.45175,122.25957,190.23333,105.71968999999999,112.38734
MALT,Alpha glucosidase,h2o_c + malt_c --> 2.0 glc__D_c,114.22008000000001,110.88993,111.97102,136.7605,133.26028,131.95686,130.04133000000002,116.34227,134.82449,444.64779000000004,395.9258,348.26197,432.69077000000004,494.1424,487.08874000000003
MALt2_2,Malate transport via proton symport (2 H),2.0 h_e + mal__L_e --> 2.0 h_c + mal__L_c,9.16581,11.5465,15.672460000000001,8.614,8.59507,9.16607,7.71329,7.76848,8.38393,3.0768400000000002,7.4703,10.913839999999999,2.7831,2.04487,2.00005
MALt2_2pp,Malate transport via proton symport (2 H) (periplasm),2.0 h_p + mal__L_p --> 2.0 h_c + mal__L_c,57.045950000000005,54.028890000000004,68.43641,53.172830000000005,42.681490000000004,49.28926,47.30419,53.732,50.09909,42.46043,75.91140999999999,114.53403999999999,13.588090000000001,14.211839999999999,14.231119999999999
MALt2r,L malate reversible transport via proton symport,h_e + mal__L_e <=> h_c + mal__L_c,41.47048,43.571690000000004,55.02775,45.94133000000001,36.21682,44.79269,33.263580000000005,37.362700000000004,35.853229999999996,31.73544,56.02723,136.48434999999998,20.13657,22.08457,15.53884
MALTabc,Maltose transport via ABC system,atp_c + h2o_c + malt_e --> adp_c + h_c + malt_c + pi_c,822.16668,815.4439799999999,874.3491300000001,1084.19387,932.4546399999999,991.8382899999999,929.99436,950.80675,839.07459,997.5125599999999,1236.2245,1154.53748,90.86015,80.15883000000001,86.54056
MALTabcpp,Maltose transport via ABC system (periplasm),atp_c + h2o_c + malt_p --> adp_c + h_c + malt_c + pi_c,7.94798,6.7536000000000005,7.662090000000001,9.89014,9.62353,10.030800000000001,5.965750000000001,8.13841,9.3382,1.14283,3.1858699999999995,1.34889,2.12826,1.4314099999999998,1.2308
MALTHPabc,MALTHPabc,atp_c + h2o_c + malthp_e --> adp_c + h_c + malthp_c + pi_c,227.60691,248.79429,288.72154,311.27371,293.62807999999995,333.26457999999997,266.40997000000004,293.16772000000003,250.97259,273.66322,378.45849,379.28672,12.2784,9.71312,10.38487
MALTHXabc,Maltohexaose transport via ABC system,atp_c + h2o_c + malthx_e --> adp_c + h_c + malthx_c + pi_c,0.96145,0.8714299999999999,0.17414000000000002,0.42538000000000004,0.80808,0.34589000000000003,0.18078,0.36993000000000004,0.61346,0.35164,0.98872,0.24525,0.49113999999999997,0.30673,0.3077
MALTHXabcpp,Maltohexaose transport via ABC system (periplasm),atp_c + h2o_c + malthx_p --> adp_c + h_c + malthx_c + pi_c,7.94798,6.7536000000000005,7.662090000000001,9.89014,9.62353,10.030800000000001,5.965750000000001,8.13841,9.3382,1.14283,3.1858699999999995,1.34889,2.12826,1.4314099999999998,1.2308
MALTHXtexi,Maltohexaose transport via diffusion (extracellular to periplasm) irreversible,malthx_e --> malthx_p,,,,,,,,,,,,,,,
MALtpp,Malate transport via diffusion (periplasm to cytosol),h_p + mal__L_p <=> h_c + mal__L_c,,,,,,,,,,,,,,,
MALTPTabc,Maltopentaose transport via ABC system,atp_c + h2o_c + maltpt_e --> adp_c + h_c + maltpt_c + pi_c,0.96145,0.8714299999999999,0.17414000000000002,0.42538000000000004,0.80808,0.34589000000000003,0.18078,0.36993000000000004,0.61346,0.35164,0.98872,0.24525,0.49113999999999997,0.30673,0.3077
MALTpts,Maltose transport via PEP:Pyr PTS,malt_e + pep_c --> malt6p_c + pyr_c,2.56386,3.26788,3.13449,4.36017,3.67311,3.80479,3.73613,2.58949,3.61259,53.36125,77.00999,75.66114,28.32217,22.800279999999997,16.07731
MALTptspp,Maltose transport via PEP:Pyr PTS (periplasm),malt_p + pep_c --> malt6p_c + pyr_c,13.524370000000001,14.81438,13.93107,12.655130000000002,12.19472,12.624970000000001,13.438010000000002,12.85498,11.928360000000001,596.64385,424.92814000000004,383.33342,154.70782,202.74867999999998,156.92688
MALTtexi,MaltoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible,malt_e --> malt_p,,,,,,,,,,,,,,,
MALTTRabc,Maltotriose transport via ABC system,atp_c + h2o_c + malttr_e --> adp_c + h_c + malttr_c + pi_c,0.96145,0.8714299999999999,0.17414000000000002,0.42538000000000004,0.80808,0.34589000000000003,0.18078,0.36993000000000004,0.61346,0.35164,0.98872,0.24525,0.49113999999999997,0.30673,0.3077
MALTTTRabc,Maltotetraose transport via ABC system,atp_c + h2o_c + maltttr_e --> adp_c + h_c + maltttr_c + pi_c,0.96145,0.8714299999999999,0.17414000000000002,0.42538000000000004,0.80808,0.34589000000000003,0.18078,0.36993000000000004,0.61346,0.35164,0.98872,0.24525,0.49113999999999997,0.30673,0.3077
MAN1PT,Mannose 1 phosphate guanylyltransferase,gtp_c + h_c + man1p_c --> gdpmann_c + ppi_c,68.00646,68.84325,64.7795,79.01482,79.04524,70.73441,84.0026,77.49986,72.79705,93.36021,83.931,82.40565,211.18846000000002,183.52692,188.38918999999999
MAN1PT2,Mannose-1-phosphate guanylyltransferase (GDP),gdp_c + h_c + man1p_c --> gdpmann_c + pi_c,68.39104,69.27897,64.95364,79.12117,79.33909000000001,71.0803,84.12312,77.77731,73.0697,93.36021,83.931,82.52828,211.67960000000002,183.52692,188.69689
