Gene ID (RS),Gene ID (LPD),Annotation
PD630_RS00005,"Pd630_LPD00001	",chromosomal replication initiator protein DnaA
PD630_RS21180,"Pd630_LPD04524	",hypothetical protein
PD630_RS21185,"Pd630_LPD04525	",hypothetical protein
PD630_RS42240,none,hypothetical protein (pseudogene)
PD630_RS21190,"Pd630_LPD04527	",hypothetical protein
PD630_RS21195,"Pd630_LPD04528	",hypothetical protein
PD630_RS42245,"Pd630_LPD04529	",hypothetical protein (pseudogene)
PD630_RS21200,"Pd630_LPD04530	",hypothetical protein
PD630_RS21205,none,hypothetical protein
PD630_RS21210,"Pd630_LPD04532	",GNAT family N-acetyltransferase
PD630_RS21215,none,hypothetical protein
PD630_RS21220,"Pd630_LPD04535	",PIN domain-containing protein
PD630_RS21225,"Pd630_LPD04536	",MerR family transcriptional regulator
PD630_RS21230,"Pd630_LPD04537	",hypothetical protein
PD630_RS21235,none,NmrA family transcriptional regulator
PD630_RS21240,"Pd630_LPD04540	",gas vesicle protein
PD630_RS21245,"Pd630_LPD04541	",non-ribosomal peptide synthetase
PD630_RS42250,"Pd630_LPD04542	",peptide synthetase
PD630_RS21250,"Pd630_LPD04543	",NADPH:quinone oxidoreductase
PD630_RS21255,"Pd630_LPD04544	",transcription antitermination regulator
PD630_RS21260,"Pd630_LPD04545	",TetR family transcriptional regulator
PD630_RS21265,"Pd630_LPD04546	",metal-dependent hydrolase
PD630_RS21270,"Pd630_LPD04547	",hypothetical protein
PD630_RS21275,"Pd630_LPD04548	",catalase
PD630_RS21280,"Pd630_LPD04549	",Fis family transcriptional regulator
PD630_RS21285,"Pd630_LPD04550	",methane monooxygenase
PD630_RS21290,"Pd630_LPD04551	",CDP-6-deoxy-delta-3%2C4-glucoseen reductase
PD630_RS21295,"Pd630_LPD04552	",toluene hydroxylase
PD630_RS21300,"Pd630_LPD04553	",monooxygenase
PD630_RS21305,"Pd630_LPD04554	",amidohydrolase
PD630_RS21310,"Pd630_LPD04555	",metal-sulfur cluster biosynthetic enzyme
PD630_RS21315,"Pd630_LPD04556	",NAD(P)-dependent alcohol dehydrogenase
PD630_RS21320,"Pd630_LPD04557	",molecular chaperone GroEL
PD630_RS21325,"Pd630_LPD04558	",antibiotic biosynthesis monooxygenase
PD630_RS21330,"Pd630_LPD04559	",FAD-binding oxidoreductase
PD630_RS21335,"Pd630_LPD04560	",hypothetical protein
PD630_RS21340,"Pd630_LPD04561	",Fis family transcriptional regulator
PD630_RS21345,none,hypothetical protein
PD630_RS42255,none,hypothetical protein
PD630_RS21350,"Pd630_LPD04565	",antibiotic biosynthesis monooxygenase
PD630_RS21355,"Pd630_LPD04566	",hypothetical protein
PD630_RS21360,"Pd630_LPD04567	",hydroxylase
PD630_RS21365,"Pd630_LPD04568	",NAD-dependent malic enzyme (pseudogene)
PD630_RS21370,"Pd630_LPD04570	",hypothetical protein (pseudogene)
PD630_RS21375,"Pd630_LPD04571	",sulfurase
PD630_RS21380,"Pd630_LPD04573	",MFS transporter
PD630_RS21385,"Pd630_LPD04574	",hypothetical protein
PD630_RS21390,"Pd630_LPD04575	",hypothetical protein
PD630_RS21395,"Pd630_LPD04576	",glyoxalase
PD630_RS21400,"Pd630_LPD04577	",maleate cis-trans isomerase
PD630_RS21405,"Pd630_LPD04578	",hydantoinase
PD630_RS21410,"Pd630_LPD04579	",hydantoinase
PD630_RS21415,"Pd630_LPD04580	",acyl-CoA synthetase
PD630_RS21420,"Pd630_LPD04581	",oxidoreductase
PD630_RS21425,"Pd630_LPD04582	",TetR family transcriptional regulator
PD630_RS21430,"Pd630_LPD04583	",nitroreductase family deazaflavin-dependent oxidoreductase
PD630_RS21435,"Pd630_LPD04584	",cation transporter
PD630_RS21440,none,hypothetical protein
PD630_RS21445,"Pd630_LPD04586	",hypothetical protein
PD630_RS21450,"Pd630_LPD04587	",LuxR family transcriptional regulator
PD630_RS21455,"Pd630_LPD04588	",3-hexulose-6-phosphate isomerase
PD630_RS21460,"Pd630_LPD04589	",3-hexulose-6-phosphate synthase
PD630_RS21465,"Pd630_LPD04590	",ethyl tert-butyl ether degradation protein EthD
PD630_RS21470,"Pd630_LPD04591	",hypothetical protein
PD630_RS21475,"Pd630_LPD04592	",cytochrome P450
PD630_RS21480,"Pd630_LPD04593	",ferredoxin
PD630_RS21485,"Pd630_LPD04594	",hypothetical protein
PD630_RS21490,none,hypothetical protein
PD630_RS21495,"Pd630_LPD04596	",AraC family transcriptional regulator
PD630_RS21500,"Pd630_LPD04597	",glucose-6-phosphate dehydrogenase
PD630_RS21505,"Pd630_LPD04598	",6-phosphogluconate dehydrogenase
PD630_RS21510,"Pd630_LPD04599	",AraC family transcriptional regulator
PD630_RS21515,"Pd630_LPD04600	",anion permease
PD630_RS21520,"Pd630_LPD04601	",low temperature requirement protein LtrA
PD630_RS21525,"Pd630_LPD04602	",transcriptional regulator
PD630_RS21530,"Pd630_LPD04603	",alpha/beta hydrolase
PD630_RS21535,"Pd630_LPD04604	",DeoR family transcriptional regulator
PD630_RS42260,none,glyoxalase (pseudogene)
PD630_RS21540,"Pd630_LPD04606	",aldehyde dehydrogenase (pseudogene)
PD630_RS21545,"Pd630_LPD04607	",SAM-dependent methyltransferase
PD630_RS21550,"Pd630_LPD04608	",hypothetical protein
PD630_RS21555,"Pd630_LPD04609	",polysaccharide deacetylase
PD630_RS21560,"Pd630_LPD04610	",hypothetical protein
PD630_RS21565,"Pd630_LPD04611	",histone H1
PD630_RS21570,none,nucleoid-structuring protein H-NS (pseudogene)
PD630_RS42265,"Pd630_LPD04613	",hypothetical protein (pseudogene)
PD630_RS42270,none,hypothetical protein (pseudogene)
PD630_RS21575,"Pd630_LPD04614	",histidine kinase
PD630_RS21580,"Pd630_LPD04616	",hypothetical protein
PD630_RS21585,"Pd630_LPD04617	",dUTPase
PD630_RS21590,none,hypothetical protein
PD630_RS21595,"Pd630_LPD04619	",transcriptional regulator
PD630_RS21600,"Pd630_LPD04620	",MFS transporter
PD630_RS21605,"Pd630_LPD04621	",FAD-dependent oxidoreductase
PD630_RS21610,"Pd630_LPD04622	",amidohydrolase
PD630_RS21615,"Pd630_LPD04623	",nitroreductase
PD630_RS21620,"Pd630_LPD04624	",MFS transporter
PD630_RS21625,"Pd630_LPD04625	",TetR family transcriptional regulator
PD630_RS21630,"Pd630_LPD04626	",cupin
PD630_RS21635,"Pd630_LPD04627	",oxidoreductase
PD630_RS21640,"Pd630_LPD04628	",MFS transporter
PD630_RS21645,"Pd630_LPD04629	",IMP dehydrogenase
PD630_RS21650,"Pd630_LPD04630	",transcriptional regulator
PD630_RS21655,"Pd630_LPD04631	",(S)-ureidoglycine aminohydrolase
PD630_RS21660,"Pd630_LPD04632	",membrane protein
PD630_RS21665,"Pd630_LPD04633	",membrane protein
PD630_RS21670,"Pd630_LPD04634	",LysR family transcriptional regulator
PD630_RS21675,"Pd630_LPD04635	",acyl-CoA dehydrogenase
PD630_RS21680,"Pd630_LPD04636	",CoA transferase
PD630_RS21685,"Pd630_LPD04637	",MFS transporter
PD630_RS21690,"Pd630_LPD04638	",hypothetical protein
PD630_RS21695,"Pd630_LPD04640	",hypothetical protein
PD630_RS21700,"Pd630_LPD04641	",histidine kinase
PD630_RS21705,"Pd630_LPD04642	",MFS transporter
PD630_RS21710,"Pd630_LPD04643	",CoA transferase
PD630_RS21715,"Pd630_LPD04644	",CoA transferase
PD630_RS21720,"Pd630_LPD04645	",enoyl-CoA hydratase
PD630_RS21725,"Pd630_LPD04646	",3-hydroxy-2-methylbutyryl-CoA dehydrogenase
PD630_RS21730,"Pd630_LPD04647	",acyl-CoA dehydrogenase
PD630_RS21735,"Pd630_LPD04648	",dicarboxylate-CoA ligase PimA
PD630_RS21740,"Pd630_LPD04649	",hypothetical protein
PD630_RS21745,none,DNA-binding protein
PD630_RS21750,"Pd630_LPD04651	",hypothetical protein
PD630_RS42275,none,hypothetical protein
PD630_RS21755,"Pd630_LPD04652	",sensor domain-containing diguanylate cyclase
PD630_RS21760,"Pd630_LPD04654	",MBL fold hydrolase
PD630_RS21765,"Pd630_LPD04655	",hypothetical protein (pseudogene)
PD630_RS21770,"Pd630_LPD04658	",membrane protein
PD630_RS21775,none,hypothetical protein
PD630_RS42280,none,hypothetical protein (pseudogene)
PD630_RS21780,"Pd630_LPD04661	",wax ester/triacylglycerol synthase family O-acyltransferase
PD630_RS21785,"Pd630_LPD04662	",selenium-binding protein
PD630_RS42285,none,hypothetical protein (pseudogene)
PD630_RS21790,"Pd630_LPD04664	",hypothetical protein
PD630_RS42290,none,hypothetical protein (pseudogene)
PD630_RS21795,"Pd630_LPD04665	",acyl-CoA dehydrogenase
PD630_RS42295,"Pd630_LPD04666	",hypothetical protein
PD630_RS21805,"Pd630_LPD04667	",hypothetical protein
PD630_RS42300,none,thioesterase (pseudogene)
PD630_RS21810,"Pd630_LPD04668	",2-aminobenzoate-CoA ligase
PD630_RS21815,"Pd630_LPD04669	",PaaX family transcriptional regulator
PD630_RS21820,none,LLM class flavin-dependent oxidoreductase
PD630_RS21825,"Pd630_LPD04672	",fusaric acid resistance protein
PD630_RS42305,none,IclR family transcriptional regulator (pseudogene)
PD630_RS21840,"Pd630_LPD04675	",hypothetical protein
PD630_RS21845,"Pd630_LPD04676	",transcriptional regulator
PD630_RS21850,"Pd630_LPD04677	",hypothetical protein
PD630_RS42310,none,type IV secretion protein Rhs (pseudogene)
PD630_RS21855,none,cutinase
PD630_RS21860,"Pd630_LPD04681	",IS3 family transposase (pseudogene)
PD630_RS21870,"Pd630_LPD04683	",TetR family transcriptional regulator
PD630_RS21875,"Pd630_LPD04684	",short-chain dehydrogenase
PD630_RS42315,none,hypothetical protein (pseudogene)
PD630_RS21885,none,PIN domain-containing protein (pseudogene)
PD630_RS21890,"Pd630_LPD04689	",excisionase
PD630_RS21895,"Pd630_LPD04690	",hypothetical protein
PD630_RS21900,"Pd630_LPD04692	",hypothetical protein
PD630_RS21905,"Pd630_LPD04693	",hypothetical protein
PD630_RS21910,"Pd630_LPD04694	",MerR family transcriptional regulator
PD630_RS21915,"Pd630_LPD04695	",zinc-binding dehydrogenase
PD630_RS21920,none,hypothetical protein (pseudogene)
PD630_RS21925,"Pd630_LPD04697	",hypothetical protein
PD630_RS21930,"Pd630_LPD04698	",alpha/beta hydrolase
PD630_RS41365,"Pd630_LPD04699	",hypothetical protein
PD630_RS21940,"Pd630_LPD04701	",hypothetical protein
PD630_RS42320,none,cold-shock protein (pseudogene)
PD630_RS21945,"Pd630_LPD04703	",hypothetical protein
PD630_RS21950,none,TetR family transcriptional regulator (pseudogene)
PD630_RS21955,"Pd630_LPD04706	",hypothetical protein
PD630_RS21960,"Pd630_LPD04707	",hypothetical protein
PD630_RS21965,"Pd630_LPD04708	",sodium:solute symporter
PD630_RS21970,"Pd630_LPD04709	",N-carbamoylputrescine amidase
PD630_RS21975,none,hypothetical protein
PD630_RS42325,none,acyl-CoA thioesterase II
PD630_RS21980,"Pd630_LPD04713	",6-carboxyhexanoate--CoA ligase
PD630_RS21985,"Pd630_LPD04714	",IclR family transcriptional regulator
PD630_RS21990,"Pd630_LPD04715	",amidohydrolase
PD630_RS21995,"Pd630_LPD04716	",3-oxoacyl-ACP reductase
PD630_RS22000,"Pd630_LPD04717	",carboxymuconolactone decarboxylase
PD630_RS22005,none,C4-dicarboxylate transporter DctA (pseudogene)
PD630_RS22010,"Pd630_LPD04721	",alpha/beta hydrolase
PD630_RS22015,"Pd630_LPD04722	",C4-dicarboxylate ABC transporter substrate-binding protein
PD630_RS22020,"Pd630_LPD04723	",hypothetical protein
PD630_RS22025,"Pd630_LPD04724	",tripartite tricarboxylate transporter TctA
PD630_RS22030,"Pd630_LPD04726	",alpha/beta hydrolase (pseudogene)
PD630_RS22035,"Pd630_LPD04727	",crotonase (pseudogene)
PD630_RS22040,"Pd630_LPD04729	",acyl-CoA dehydrogenase
PD630_RS22045,"Pd630_LPD04730	",iron ABC transporter substrate-binding protein
PD630_RS22050,"Pd630_LPD04731	",iron ABC transporter permease
PD630_RS22055,"Pd630_LPD04732	",ABC transporter ATP-binding protein
PD630_RS22060,"Pd630_LPD04733	",2-methylcitrate dehydratase
PD630_RS22065,"Pd630_LPD04734	",GntR family transcriptional regulator
PD630_RS22070,"Pd630_LPD04735	",MFS transporter
PD630_RS42330,none,hypothetical protein (pseudogene)
PD630_RS22075,none,acetaldehyde dehydrogenase (acetylating) (pseudogene)
PD630_RS22080,"Pd630_LPD04739	",choline dehydrogenase
PD630_RS22085,"Pd630_LPD04741	",hypothetical protein
PD630_RS22090,"Pd630_LPD04742	",ATPase
PD630_RS22095,none,hypothetical protein
PD630_RS22100,"Pd630_LPD04746	",hypothetical protein
PD630_RS22105,"Pd630_LPD04747	",hypothetical protein
PD630_RS22110,none,hypothetical protein (pseudogene)
PD630_RS22115,"Pd630_LPD04751	",ABC transporter ATP-binding protein
PD630_RS22120,"Pd630_LPD04752	",ABC transporter substrate-binding protein
PD630_RS22125,"Pd630_LPD04753	",metallophosphatase
PD630_RS22130,"Pd630_LPD04754	",glycerol-3-phosphate ABC transporter permease
PD630_RS22135,"Pd630_LPD04755	",sugar ABC transporter permease
PD630_RS22140,"Pd630_LPD04756	",hypothetical protein
PD630_RS22145,"Pd630_LPD04757	",LysR family transcriptional regulator
PD630_RS22150,none,membrane protein
PD630_RS22155,"Pd630_LPD04760	",hypothetical protein
PD630_RS22160,"Pd630_LPD04761	",proteinase
PD630_RS22165,"Pd630_LPD04762	",thioesterase
PD630_RS22170,"Pd630_LPD04763	",hypothetical protein
PD630_RS22175,"Pd630_LPD04764	",hypothetical protein
PD630_RS22180,"Pd630_LPD04765	",TetR family transcriptional regulator
PD630_RS22185,"Pd630_LPD04767	",succinate-semialdehyde dehydrogenase
PD630_RS42335,none,hypothetical protein
PD630_RS22190,"Pd630_LPD04769	",acetyl-CoA acetyltransferase
PD630_RS22195,"Pd630_LPD04770	",enoyl-CoA hydratase
PD630_RS22200,"Pd630_LPD04771	",3-hydroxy-2-methylbutyryl-CoA dehydrogenase
PD630_RS22205,"Pd630_LPD04772	",acyl-CoA dehydrogenase
PD630_RS22210,"Pd630_LPD04773	",CoA transferase
PD630_RS22215,"Pd630_LPD04774	",MFS transporter
PD630_RS22220,"Pd630_LPD04776	",LysR family transcriptional regulator
PD630_RS22225,"Pd630_LPD04777	",LysR family transcriptional regulator
PD630_RS22230,"Pd630_LPD04778	",hypothetical protein
PD630_RS22235,"Pd630_LPD04779	",nitrate transporter ATP-binding protein nrtC
PD630_RS22240,"Pd630_LPD04780	",ABC transporter ATP-binding protein
PD630_RS22245,"Pd630_LPD04781	",ABC transporter permease
PD630_RS22250,"Pd630_LPD04782	",taurine dioxygenase
PD630_RS22255,"Pd630_LPD04784	",MFS transporter
PD630_RS22260,"Pd630_LPD04786	",taurine dioxygenase
PD630_RS22265,"Pd630_LPD04787	",GntR family transcriptional regulator
PD630_RS22270,"Pd630_LPD04788	",NAD(P) transhydrogenase subunit beta
PD630_RS22275,"Pd630_LPD04789	",NAD(P) transhydrogenase subunit alpha
PD630_RS22280,"Pd630_LPD04790	",NAD(P) transhydrogenase subunit alpha
PD630_RS22285,"Pd630_LPD04791	",acyl-CoA dehydrogenase
PD630_RS22290,"Pd630_LPD04792	",acyl-CoA dehydrogenase
PD630_RS22295,"Pd630_LPD04794	",3-ketoacyl-ACP reductase
PD630_RS22300,"Pd630_LPD04795	",3-ketoacyl-ACP reductase
PD630_RS22305,"Pd630_LPD04796	",acetyl-CoA acetyltransferase
PD630_RS22310,"Pd630_LPD04797	",NADP-dependent oxidoreductase
PD630_RS22315,"Pd630_LPD04798	",hypothetical protein
PD630_RS22320,"Pd630_LPD04799	",acryloyl-CoA reductase
PD630_RS22325,"Pd630_LPD04800	",hypothetical protein
PD630_RS22330,"Pd630_LPD04801	",hypothetical protein
PD630_RS22335,"Pd630_LPD04802	",long-chain-fatty-acid--CoA ligase
PD630_RS22340,"Pd630_LPD04803	",protein kinase
PD630_RS22345,"Pd630_LPD04804	",cold-shock protein
PD630_RS22350,"Pd630_LPD04805	",SAM-dependent methyltransferase
PD630_RS22355,"Pd630_LPD04807	",aldo/keto reductase
PD630_RS22360,"Pd630_LPD04808	",alkanesulfonate monooxygenase
PD630_RS22365,"Pd630_LPD04810	",N-acetyltransferase
PD630_RS22370,"Pd630_LPD04811	",cystathionine beta-synthase (pseudogene)
PD630_RS22375,"Pd630_LPD04813	",WhiB family transcriptional regulator
PD630_RS42340,none,hypothetical protein
PD630_RS22380,"Pd630_LPD04814	",cytosine deaminase (pseudogene)
PD630_RS22385,"Pd630_LPD04815	",anti-sigma factor
PD630_RS22390,"Pd630_LPD04816	",DNA-directed RNA polymerase sigma-70 factor
PD630_RS22395,"Pd630_LPD04818	",hypothetical protein
PD630_RS22400,"Pd630_LPD04819	",catalase
PD630_RS22405,"Pd630_LPD04820	",cytochrome b
PD630_RS22410,"Pd630_LPD04821	",SAM-dependent methyltransferase
PD630_RS22415,none,hypothetical protein
PD630_RS22425,"Pd630_LPD04825	",IS3 family transposase (pseudogene)
PD630_RS22430,"Pd630_LPD04826	",hypothetical protein
PD630_RS22435,"Pd630_LPD04828	",MFS transporter
PD630_RS22440,"Pd630_LPD04829	",hypothetical protein
PD630_RS42345,"Pd630_LPD04830	",glycine oxidase ThiO
PD630_RS22450,"Pd630_LPD04831	",hypothetical protein
PD630_RS22455,"Pd630_LPD04832	",hypothetical protein (pseudogene)
PD630_RS42350,none,PadR family transcriptional regulator (pseudogene)
PD630_RS22460,"Pd630_LPD04834	",hypothetical protein
PD630_RS22465,"Pd630_LPD04835	",4-hydroxy-tetrahydrodipicolinate synthase
PD630_RS22470,"Pd630_LPD04836	",hypothetical protein
PD630_RS22475,"Pd630_LPD04837	",hypothetical protein
PD630_RS22480,"Pd630_LPD04838	",isocitrate dehydrogenase%2C NADP-dependent
PD630_RS22485,"Pd630_LPD04839	",LLM class F420-dependent oxidoreductase
PD630_RS22490,"Pd630_LPD04840	",IS110 family transposase
PD630_RS42355,"Pd630_LPD04841	",hypothetical protein
PD630_RS22495,"Pd630_LPD04843	",transcription initiation protein
PD630_RS22500,"Pd630_LPD04844	",hypothetical protein
PD630_RS22505,"Pd630_LPD04846	",glyoxalase
PD630_RS22510,none,hypothetical protein
PD630_RS22520,"Pd630_LPD04849	",hypothetical protein
PD630_RS22525,"Pd630_LPD04850	",aldehyde dehydrogenase family protein
PD630_RS22530,"Pd630_LPD04852	",hypothetical protein
PD630_RS22535,"Pd630_LPD04853	",CdaR family transcriptional regulator
PD630_RS22540,"Pd630_LPD04854	",MFS transporter
PD630_RS22545,"Pd630_LPD04855	",acetyl-CoA synthetase
PD630_RS22550,"Pd630_LPD04856	",hypothetical protein
PD630_RS22555,"Pd630_LPD04857	",hypothetical protein
PD630_RS22560,"Pd630_LPD04858	",peptidase S1
PD630_RS42360,"Pd630_LPD04859	",hypothetical protein
PD630_RS22570,"Pd630_LPD04860	",TetR family transcriptional regulator
PD630_RS22575,"Pd630_LPD04861	",hypothetical protein
PD630_RS22580,none,MFS transporter
PD630_RS22585,"Pd630_LPD04864	",hypothetical protein
PD630_RS22590,"Pd630_LPD04865	",nitroreductase
PD630_RS22595,"Pd630_LPD04866	",hypothetical protein
PD630_RS22600,"Pd630_LPD04867	",MFS transporter
PD630_RS22605,"Pd630_LPD04868	",TetR family transcriptional regulator
PD630_RS22610,none,NADPH-dependent oxidoreductase (pseudogene)
PD630_RS22615,"Pd630_LPD04872	",3-oxoacyl-ACP reductase
PD630_RS22620,"Pd630_LPD04873	",RNA-directed DNA polymerase
PD630_RS22625,"Pd630_LPD04874	",reactive intermediate/imine deaminase
PD630_RS22630,"Pd630_LPD04875	",arginine ABC transporter ATP-binding protein
PD630_RS22635,"Pd630_LPD04876	",amino acid ABC transporter permease
PD630_RS22640,"Pd630_LPD04877	",ABC transporter substrate-binding protein
PD630_RS22645,"Pd630_LPD04878	",alpha-hydroxy-acid oxidizing enzyme
PD630_RS22650,"Pd630_LPD04879	",PucR family transcriptional regulator
PD630_RS42365,"Pd630_LPD04880	",hypothetical protein
PD630_RS22655,"Pd630_LPD04881	",MFS transporter
PD630_RS22660,"Pd630_LPD04882	",LysR family transcriptional regulator
PD630_RS22665,"Pd630_LPD04883	",2-nitropropane dioxygenase
PD630_RS22670,"Pd630_LPD04884	",LysR family transcriptional regulator
PD630_RS22675,none,hypothetical protein
PD630_RS22680,"Pd630_LPD04886	",ATP-binding protein
PD630_RS22685,none,transposase (pseudogene)
PD630_RS22690,"Pd630_LPD04888	",phage integrase
PD630_RS22695,"Pd630_LPD04889	",integrase
PD630_RS22700,"Pd630_LPD04890	",integrase
PD630_RS22705,"Pd630_LPD04891	",pyridoxamine 5-phosphate oxidase (pseudogene)
PD630_RS22710,"Pd630_LPD04892	",MFS transporter
PD630_RS22715,"Pd630_LPD04893	",oxidoreductase
PD630_RS42370,"Pd630_LPD04894	",hypothetical protein
PD630_RS22720,"Pd630_LPD04895	",hypothetical protein
PD630_RS22725,"Pd630_LPD04896	",hypothetical protein
PD630_RS22730,"Pd630_LPD04897	",hypothetical protein
PD630_RS22735,"Pd630_LPD04898	",transketolase
PD630_RS22740,"Pd630_LPD04899	",transketolase
PD630_RS22745,"Pd630_LPD04900	",IclR family transcriptional regulator
PD630_RS22750,"Pd630_LPD04901	",2-hydroxycyclohexanecarboxyl-CoA dehydrogenase
PD630_RS22755,"Pd630_LPD04902	",sugar ABC transporter substrate-binding protein
PD630_RS22760,"Pd630_LPD04903	",sugar ABC transporter
PD630_RS22765,"Pd630_LPD04904	",ribose ABC transporter permease
PD630_RS22770,"Pd630_LPD04905	",NAD-dependent succinate-semialdehyde dehydrogenase
PD630_RS22775,"Pd630_LPD04906	",epimerase
PD630_RS22780,"Pd630_LPD04907	",monooxygenase
PD630_RS22785,"Pd630_LPD04908	",cupin
PD630_RS22790,"Pd630_LPD04909	",precorrin-6A reductase
PD630_RS22795,"Pd630_LPD04910	",precorrin-4 C(11)-methyltransferase
PD630_RS22800,"Pd630_LPD04911	",bifunctional cobalt-precorrin-7 (C(5))-methyltransferase/cobalt-precorrin-6B (C(15))-methyltransferase
PD630_RS22805,"Pd630_LPD04912	",oxidoreductase
PD630_RS22810,"Pd630_LPD04913	",PPOX class F420-dependent enzyme
PD630_RS22815,"Pd630_LPD04914	",glycosyl transferase
PD630_RS22820,"Pd630_LPD04915	",dipeptidase
PD630_RS22825,"Pd630_LPD04916	",5'-3' exonuclease
PD630_RS42375,"Pd630_LPD04917	",hypothetical protein
PD630_RS22835,"Pd630_LPD04918	",DEAD/DEAH box helicase
PD630_RS22840,"Pd630_LPD04919	",twin-arginine translocase subunit TatC
PD630_RS22845,"Pd630_LPD04920	",twin-arginine translocase TatA/TatE family subunit
PD630_RS22850,"Pd630_LPD04921	",2-dehydropantoate 2-reductase
PD630_RS22855,"Pd630_LPD04922	",protein pafC
PD630_RS22860,"Pd630_LPD04923	",WYL domain-containing protein
PD630_RS22865,"Pd630_LPD04924	",Pup--protein ligase
PD630_RS22870,"Pd630_LPD04926	",glycerophosphatase
PD630_RS22875,"Pd630_LPD04927	",proteasome subunit alpha
PD630_RS22880,"Pd630_LPD04928	",proteasome subunit beta
PD630_RS22885,"Pd630_LPD04929	",hypothetical protein
PD630_RS22890,"Pd630_LPD04930	",proteasome accessory factor PafA2
PD630_RS22895,"Pd630_LPD04931	",nitroreductase family deazaflavin-dependent oxidoreductase
PD630_RS22900,"Pd630_LPD04932	",NUDIX hydrolase
PD630_RS22905,"Pd630_LPD04933	",proteasome-associated ATPase
PD630_RS22910,"Pd630_LPD04934	",hypothetical protein
PD630_RS22915,"Pd630_LPD04935	",SAM-dependent methyltransferase
PD630_RS22920,none,RecB family exonuclease
PD630_RS22925,"Pd630_LPD04937	",thioesterase
PD630_RS22930,"Pd630_LPD04938	",ATP phosphoribosyltransferase
PD630_RS22935,"Pd630_LPD04939	",phosphoribosyl-ATP diphosphatase
PD630_RS22940,"Pd630_LPD04940	",pseudouridylate synthase
PD630_RS22945,"Pd630_LPD04941	",rhodanese domain-containing protein
PD630_RS22950,"Pd630_LPD04942	",haloacid dehalogenase
PD630_RS22955,"Pd630_LPD04943	",methionine synthase
PD630_RS22960,"Pd630_LPD04944	",carboxylate--amine ligase
PD630_RS22965,"Pd630_LPD04945	",MFS transporter
PD630_RS22970,"Pd630_LPD04946	",nitrite reductase large subunit
PD630_RS22975,"Pd630_LPD04947	",(2Fe-2S) ferredoxin
PD630_RS22980,"Pd630_LPD04948	",acyltransferase
PD630_RS22985,"Pd630_LPD04949	",carboxymuconolactone decarboxylase family protein
PD630_RS22990,"Pd630_LPD04950	",hypothetical protein
PD630_RS22995,"Pd630_LPD04951	",AraC family transcriptional regulator
PD630_RS23000,none,hypothetical protein
PD630_RS23005,"Pd630_LPD04953	",XRE family transcriptional regulator
PD630_RS23010,"Pd630_LPD04954	",SAM-dependent methyltransferase
PD630_RS23015,"Pd630_LPD04955	",hypothetical protein
PD630_RS23020,"Pd630_LPD04956	",hypothetical protein
PD630_RS23025,"Pd630_LPD04957	",TIGR02677 family protein
PD630_RS23030,"Pd630_LPD04958	",TIGR02678 family protein
PD630_RS23035,"Pd630_LPD04959	",endonuclease
PD630_RS23040,"Pd630_LPD04960	",cysteine--1-D-myo-inosityl 2-amino-2-deoxy-alpha-D-glucopyranoside ligase
PD630_RS23045,"Pd630_LPD04961	",phosphatidylinositol kinase
PD630_RS23050,"Pd630_LPD04962	",hypothetical protein
PD630_RS23055,"Pd630_LPD04963	",phosphoglycerate mutase
PD630_RS23060,"Pd630_LPD04964	",undecaprenyl-diphosphatase
PD630_RS42380,"Pd630_LPD04965	",hypothetical protein
PD630_RS23065,"Pd630_LPD04966	",aldo/keto reductase
PD630_RS23070,"Pd630_LPD04967	",heme oxygenase
PD630_RS23075,"Pd630_LPD04968	",ABC transporter substrate-binding protein
PD630_RS23080,"Pd630_LPD04969	",ABC transporter permease
PD630_RS23085,"Pd630_LPD04970	",heme ABC transporter ATP-binding protein
PD630_RS23090,"Pd630_LPD04971	",hypothetical protein
PD630_RS23095,"Pd630_LPD04972	",hypothetical protein
PD630_RS23100,"Pd630_LPD04973	",hypothetical protein
PD630_RS23105,"Pd630_LPD04974	",dihydroorotate dehydrogenase (quinone)
PD630_RS23110,"Pd630_LPD04975	",hypothetical protein
PD630_RS23115,"Pd630_LPD04976	",hypothetical protein
PD630_RS23120,"Pd630_LPD04977	",tRNA-Leu
PD630_RS23125,"Pd630_LPD04978	",short-chain dehydrogenase
PD630_RS23130,"Pd630_LPD04979	",universal stress protein
PD630_RS23135,"Pd630_LPD04980	",membrane protein
PD630_RS23140,"Pd630_LPD04981	",enoyl reductase
PD630_RS23145,"Pd630_LPD04982	",anion permease
PD630_RS23150,"Pd630_LPD04984	",malate synthase G
PD630_RS23155,"Pd630_LPD04985	",hypothetical protein
PD630_RS23160,"Pd630_LPD04986	",metallophosphoesterase
PD630_RS23165,"Pd630_LPD04987	",glycine dehydrogenase (aminomethyl-transferring)
PD630_RS23170,"Pd630_LPD04988	",MerR family transcriptional regulator
PD630_RS23175,"Pd630_LPD04989	",hypothetical protein
PD630_RS23180,"Pd630_LPD04990	",MerR family transcriptional regulator
PD630_RS23185,"Pd630_LPD04991	",peptide-binding protein
PD630_RS23190,"Pd630_LPD04992	",glycine cleavage system protein H
PD630_RS23195,"Pd630_LPD04993	",hypothetical protein
PD630_RS23200,"Pd630_LPD04994	",hypothetical protein
PD630_RS23205,"Pd630_LPD04995	",membrane protein
PD630_RS23210,"Pd630_LPD04996	",CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
PD630_RS23215,"Pd630_LPD04997	",strictosidine synthase
